trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,0,-72.79344657301954,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-64.4721996772159,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,0,-93.14740352038234,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",1
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",35,0,-82.16313892712697,"{0: 23, 1: 4, 2: 7, 3: 1, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",20,0,-112.79185420616793,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,12,-14.281436460255275,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,0,-68.73293040478303,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-72.18198872141804,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-102.90628664705349,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-52.20954499812364,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",25,0,-49.534065461497434,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,0,-53.15263752198666,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",30,11,-12.296199144157324,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-54.92322768092933,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
